,year,month,day,min_temp,max_temp,prcp,sndp
111,2016,4,30,46.9,63.0,0.02,999.9
112,2016,1,18,24.1,44.1,0.05,999.9
113,2016,7,5,69.1,89.1,1.08,999.9
114,2016,12,9,34.0,45.0,0.0,999.9
115,2016,10,4,62.1,73.0,0.0,999.9
116,2016,3,27,39.0,54.0,0.0,999.9
117,2016,5,20,55.9,78.1,0.0,999.9
118,2016,11,13,39.9,64.0,0.0,999.9
119,2016,1,20,18.0,37.9,0.0,999.9
120,2016,11,6,48.0,64.0,0.0,999.9
121,2016,5,14,57.9,73.0,0.25,999.9
122,2016,12,22,33.1,50.0,0.0,999.9
123,2016,7,12,69.1,84.0,0.0,999.9
124,2016,3,1,39.9,61.0,0.07,999.9
125,2016,8,20,75.0,89.1,0.02,999.9
126,2016,12,8,41.0,46.9,0.06,999.9
127,2016,1,19,18.0,33.1,0.0,999.9
128,2016,10,24,48.0,64.0,0.0,999.9
129,2016,9,29,60.1,71.1,0.0,999.9
130,2016,5,11,51.1,73.9,0.0,999.9
131,2016,4,17,45.0,73.9,0.0,999.9
132,2016,5,17,44.1,68.0,0.0,999.9
133,2016,4,12,44.1,61.0,0.04,999.9
134,2016,11,25,41.0,55.9,0.02,999.9
135,2016,7,9,66.0,86.0,0.01,999.9
136,2016,4,23,61.0,78.1,0.14,999.9
137,2016,12,4,41.0,50.0,0.0,999.9
138,2016,1,21,28.0,37.9,0.0,999.9
139,2016,11,16,48.0,64.0,1.44,999.9
140,2016,11,20,37.0,62.1,0.52,999.9
141,2016,2,20,25.0,62.1,0.0,999.9
142,2016,1,10,41.0,59.0,0.63,999.9
143,2016,2,13,10.9,27.0,0.0,999.9
144,2016,4,1,48.9,79.0,0.0,999.9
145,2016,5,26,60.1,91.9,0.0,999.9
146,2016,9,14,68.0,91.9,0.0,999.9
147,2016,3,13,41.0,64.0,0.0,999.9
148,2016,2,8,30.2,39.9,0.0,1.2
149,2016,9,7,71.6,86.0,0.01,999.9
150,2016,10,9,54.0,69.1,0.3,999.9
151,2016,3,16,44.1,64.9,0.0,999.9
152,2016,12,6,39.9,51.1,0.02,999.9
153,2016,10,19,68.0,86.0,0.0,999.9
154,2016,3,29,43.0,63.0,0.32,999.9
155,2016,6,8,55.0,87.1,0.01,999.9
156,2016,10,2,57.2,64.4,0.0,999.9
157,2016,2,27,28.0,42.1,0.0,999.9
158,2016,10,7,59.0,77.0,0.0,999.9
159,2016,1,29,28.9,44.1,0.0,3.1
160,2016,9,6,66.9,84.0,0.0,999.9
161,2016,2,2,37.9,59.0,0.0,1.2
162,2016,9,30,60.1,66.9,0.0,999.9
163,2016,10,6,55.0,75.0,0.0,999.9
164,2016,4,19,48.9,80.1,0.0,999.9
165,2016,3,9,41.0,75.0,0.0,999.9
166,2016,3,3,27.0,36.0,0.0,999.9
167,2016,7,30,71.1,84.9,0.13,999.9
168,2016,7,10,66.9,81.0,0.41,999.9
169,2016,1,8,32.0,48.0,0.0,999.9
170,2016,8,22,71.1,89.1,0.13,999.9
171,2016,7,20,71.1,88.0,0.0,999.9
172,2016,6,25,64.9,84.9,0.0,999.9
173,2016,8,15,78.1,98.1,0.01,999.9
174,2016,6,26,64.9,86.0,0.0,999.9
175,2016,1,30,30.0,42.1,0.0,3.1
176,2016,1,24,24.1,36.0,0.8,20.1
177,2016,1,7,26.1,48.0,0.0,999.9
178,2016,10,29,44.1,66.0,0.0,999.9
179,2016,8,25,71.1,89.1,0.0,999.9
180,2016,6,1,68.0,84.0,0.0,999.9
181,2016,12,12,30.0,48.0,0.48,999.9
182,2016,3,12,41.0,66.0,0.0,999.9
183,2016,3,22,37.0,55.0,0.07,999.9
184,2016,2,17,35.1,57.0,0.8,999.9
185,2016,8,3,68.0,81.0,0.0,999.9
186,2016,4,5,27.0,45.0,0.5,999.9
187,2016,10,26,41.0,55.0,0.0,999.9
188,2016,8,12,75.9,98.1,0.56,999.9
189,2016,11,2,44.1,72.0,0.0,999.9
190,2016,8,9,75.0,89.1,0.0,999.9
191,2016,9,28,62.1,75.9,0.0,999.9
192,2016,9,18,64.0,84.9,0.0,999.9
193,2016,4,6,27.0,48.0,0.0,999.9
194,2016,2,15,1.0,30.9,0.0,2.0
195,2016,12,27,34.0,62.1,0.0,999.9
196,2016,6,15,60.1,87.1,0.0,999.9
197,2016,4,14,42.1,61.0,0.0,999.9
198,2016,6,9,55.0,73.9,0.44,999.9
199,2016,3,15,41.0,57.0,0.17,999.9
200,2016,2,11,23.0,39.9,99.99,1.2
201,2016,6,14,59.0,81.0,0.0,999.9
202,2016,5,10,51.1,73.9,0.0,999.9
203,2016,4,4,35.1,50.0,0.11,999.9
204,2016,9,11,75.9,91.0,0.0,999.9
205,2016,9,2,68.0,82.9,0.31,999.9
206,2016,11,26,46.9,55.9,0.01,999.9
207,2016,7,21,71.1,91.0,0.0,999.9
208,2016,11,24,37.0,50.0,0.0,999.9
209,2016,2,24,35.6,55.4,0.3,999.9
210,2016,1,5,12.9,37.9,0.0,999.9
211,2016,9,26,57.0,73.0,0.0,999.9
212,2016,2,1,37.0,59.0,0.0,1.2
213,2016,1,3,34.0,46.9,0.0,999.9
214,2016,7,6,69.1,96.1,0.57,999.9
215,2016,11,4,55.0,75.0,0.0,999.9
216,2016,7,13,71.1,86.0,0.0,999.9
217,2016,10,11,48.9,64.9,0.0,999.9
218,2016,1,23,21.9,30.0,0.16,25.2
219,2016,2,29,39.0,61.0,0.0,999.9
220,2016,1,9,34.0,48.0,0.0,999.9
221,2016,8,11,75.9,97.0,0.05,999.9
222,2016,8,14,82.0,97.0,0.0,999.9
223,2016,5,16,44.1,68.0,0.0,999.9
224,2016,12,3,43.0,53.1,0.0,999.9
225,2016,6,17,66.0,77.0,0.0,999.9
226,2016,5,9,48.9,73.9,0.08,999.9
227,2016,7,29,71.1,93.9,0.89,999.9
228,2016,10,13,55.9,70.0,0.0,999.9
229,2016,5,15,48.0,73.0,0.0,999.9
230,2016,3,31,39.0,70.0,0.0,999.9
231,2016,8,10,75.0,89.1,0.01,999.9
232,2016,2,7,32.0,46.0,0.0,1.2
233,2016,5,30,69.1,87.1,1.53,999.9
234,2016,4,28,46.9,60.1,0.0,999.9
235,2016,7,23,75.9,99.0,0.0,999.9
236,2016,8,28,73.9,89.1,0.0,999.9
237,2016,12,19,25.0,39.9,0.01,999.9
238,2016,12,15,23.0,44.1,0.0,999.9
239,2016,2,18,28.9,41.0,0.0,999.9
240,2016,11,8,43.0,70.0,0.0,999.9
241,2016,4,18,48.0,80.1,0.0,999.9
242,2016,5,7,48.2,57.2,0.18,999.9
243,2016,8,31,72.0,90.0,0.0,999.9
244,2016,12,7,41.0,46.9,0.41,999.9
245,2016,9,3,68.0,82.9,0.0,999.9
246,2016,2,4,42.1,57.9,0.69,999.9
247,2016,11,10,44.1,63.0,0.02,999.9
248,2016,12,24,39.9,48.9,0.01,999.9
249,2016,9,8,72.0,88.0,0.0,999.9
250,2016,4,26,50.0,68.0,0.19,999.9
251,2016,7,8,73.9,93.0,0.02,999.9
252,2016,1,17,30.2,46.9,0.02,1.2
253,2016,11,21,37.0,44.1,0.34,999.9
254,2016,7,17,77.0,93.0,0.0,999.9
255,2016,10,15,48.9,66.0,0.0,999.9
256,2016,2,21,39.9,62.1,0.0,999.9
257,2016,10,12,48.9,69.1,0.0,999.9
258,2016,9,19,72.0,84.9,0.31,999.9
259,2016,7,14,73.0,91.0,0.0,999.9
260,2016,5,29,73.0,91.9,0.0,999.9
261,2016,12,11,30.0,37.0,0.0,999.9
262,2016,7,27,75.0,93.9,0.0,999.9
263,2016,10,3,57.9,73.0,0.0,999.9
264,2016,4,2,48.9,79.0,0.01,999.9
265,2016,1,1,39.0,50.0,0.03,999.9
266,2016,7,1,70.0,87.1,0.0,999.9
267,2016,6,27,69.1,86.0,0.0,999.9
